draw,qp,alpha_i,b1,phi,psi,om,si,d1,d2,d3,pA1,pA2,pA3,pA4,g0,g1,g2,qc
71,0.0974235,0.665479,1.99889,0.611693,0.224623,361.242,5.40119,0.875162,0.816995,0.349301,0.0860575,0.205308,0.485611,0.8094,6.15027,0.885784,0.769205,0.998934
72,0.0979151,0.488954,1.99965,0.616275,0.266136,347.432,4.22056,0.899575,0.698546,0.385552,0.0579981,0.198735,0.573803,0.681311,5.39955,0.898928,0.913671,0.999945
73,0.0977043,0.655112,1.99911,0.613306,0.248549,358.929,4.88764,0.88467,0.812584,0.325301,0.113138,0.16442,0.536346,0.755207,6.09533,0.881542,0.769271,0.999774
74,0.0988215,0.605124,1.99859,0.614985,0.250372,357.354,4.73101,0.870307,0.757173,0.352742,0.0960692,0.166772,0.488439,0.767357,6.28934,0.864434,0.771533,0.999906
75,0.0985677,0.585167,1.99913,0.621328,0.236947,360.57,4.86118,0.883983,0.855879,0.320374,0.0910535,0.140973,0.516162,0.738981,6.28854,0.86151,0.790846,0.999845
76,0.0986845,0.636532,1.99812,0.614478,0.235921,357.312,5.01092,0.873049,0.845922,0.321013,0.11946,0.10518,0.531793,0.718466,6.09668,0.840783,0.818028,0.999291
77,0.0969382,0.503559,1.99934,0.616916,0.256898,347.545,4.16678,0.918777,0.656056,0.392541,0.183083,0.22257,0.556382,0.652675,5.7278,0.88452,0.898503,0.999818
78,0.0995185,0.671447,1.99999,0.613448,0.23973,359.673,5.0887,0.916919,0.831057,0.310077,0.120725,0.16447,0.549708,0.752836,6.14899,0.877023,0.747426,0.999906
79,0.0927034,0.741782,1.99639,0.607402,0.227113,362.601,5.18024,0.877017,0.900696,0.30171,0.121201,0.212606,0.563008,0.849476,6.4585,0.883631,0.755979,0.999492
80,0.099924,0.625627,1.9998,0.612507,0.239811,361.991,5.01896,0.91059,0.805539,0.317812,0.0693697,0.171242,0.505,0.751504,6.27932,0.899611,0.734341,0.999858
81,0.0988232,0.666697,1.99532,0.613044,0.215229,361.444,5.37453,0.869931,0.844876,0.33285,0.0760429,0.194649,0.517094,0.776023,6.32049,0.876026,0.779653,0.997678
82,0.0962908,0.437461,1.99726,0.61946,0.249919,349.189,4.27408,0.926508,0.697097,0.381968,0.110719,0.151169,0.552493,0.642604,6.22688,0.879351,0.854856,0.999623
83,0.0989636,0.538272,1.99734,0.619639,0.238545,355.524,4.91718,0.902211,0.768964,0.354539,0.0208299,0.147281,0.508943,0.668725,5.68179,0.901131,0.84541,0.997723
84,0.0981659,0.547548,1.99795,0.616564,0.234174,347.245,5.0327,0.845398,0.745927,0.381012,0.184631,0.169827,0.404908,0.73847,6.23296,0.872513,0.787432,0.998784
85,0.097789,0.500311,1.99852,0.61323,0.256002,350.18,4.28408,0.895721,0.694542,0.373073,0.063372,0.213845,0.536861,0.67617,5.60796,0.89854,0.915794,0.999292
86,0.0979614,0.548842,1.99988,0.612401,0.245307,348.039,4.80058,0.906507,0.735734,0.364701,0.0564109,0.186116,0.527761,0.695032,5.48493,0.89369,0.878919,0.999386
87,0.0999289,0.631428,1.99696,0.61398,0.239141,357.374,5.00253,0.906642,0.793098,0.32781,0.0624589,0.171951,0.48528,0.739589,6.03042,0.889375,0.760348,0.999423
88,0.0986686,0.635294,1.9989,0.608647,0.218279,360.423,5.40217,0.890544,0.806972,0.340137,0.0637459,0.216993,0.515292,0.740191,6.18685,0.884359,0.796181,0.999531
89,0.096525,0.494957,1.99965,0.621188,0.25978,347.053,4.25915,0.923057,0.714017,0.366055,0.0887701,0.21831,0.522543,0.664087,5.76746,0.868583,0.879695,0.997551
