age_group,N0,S0,E0,A0,I0,R0,N1,S1,E1,A1,I1,R1,N2,S2,E2,A2,I2,R2,N3,S3,E3,A3,I3,R3,Ntot,p0,p1,p2,p3,frac_S,frac_E,frac_A,frac_I,frac_R
11,38958.6969260342,11971.9355957149,22.2628062497679,1.3868183450977,32.195652193084,26930.9160535313,13944.7682894951,11269.1704117554,17.6847604109594,0.888918507111326,20.6366689509977,2636.38752987066,999.953015576331,894.082567712343,1.14687779841471,0.0427446861637965,0.992338364787909,103.688487014621,35.120690808151,33.9634635457759,0.0151605188457117,0.000563301814856174,0.0130773214638755,1.12842612025071,53938.5389219138,0.722279425893131,0.258530701205733,0.0185387486491607,0.000651124251974917,0.448086887813514,0.000762156443234431,4.29942094565248e-05,0.000998131167554868,0.550109830366241
12,38150.8735268391,11029.9445095964,20.5291962131395,1.28052121801788,29.7279134696359,27069.3913863419,14861.971742061,11590.1441908231,18.204936948601,0.916107060836815,21.2678642495551,3231.43864297894,1308.25039729413,1151.83675023343,1.48079966336349,0.0553010272009941,1.28383983668608,153.593706533447,54.5697269416502,52.6024590527535,0.0235292231683781,0.000875869325980694,0.020333725960251,1.92252907044203,54375.6653931358,0.701616674499675,0.273320273593142,0.0240594830028375,0.00100356890434556,0.438146875766106,0.000740008637270891,4.14303927886472e-05,0.000961826414512979,0.560109858789322
13,271225.901060573,35737.0763376277,165.440958090992,37.4638513431467,200.370851146442,235085.549062365,235317.709218961,94162.096532772,374.741518947017,71.6430986396757,375.756067723878,140333.472000878,107117.645484825,52674.6907504805,174.263722473892,25.3505460525618,131.938438240084,54111.4020275783,57673.028390364,39273.399231348,45.9542218930274,6.76796699084235,35.1858356250345,18311.7211345071,671334.284154723,0.404010203950888,0.350522407052768,0.159559325380942,0.0859080636154015,0.33045722241276,0.00113267032438593,0.0002103653371495,0.00110712533275619,0.667092616592949
14,147951.16676001,7938.10997026309,35.2706737008501,8.49909014607071,44.2978431565515,139924.989182744,215466.7017357,56497.0985456378,211.808752128091,41.44751777963,215.521362242262,158500.825557912,165979.390935882,64242.9015263412,198.493230108561,29.0534375108949,151.03666067271,101357.906081249,147547.423679516,95384.2521496792,104.032613934416,15.3764975153424,79.9349636164888,51963.8274547709,676944.683111108,0.218557247661736,0.318292922762102,0.245189001519405,0.217960828056757,0.330990652237896,0.000811890961822814,0.000139415443102679,0.000725008766495411,0.667333032590684
15,79684.9365695031,1831.67621995698,8.08835925315115,1.94404625922832,10.1085444999504,77833.1193995338,169800.334381617,32230.8561665788,120.773980115625,23.6394793100971,122.891100283212,137302.173655329,183773.51790183,58375.4113229631,180.545701759601,26.4530670476123,137.516654123993,125053.591155936,245320.820156444,149801.154144116,163.667679011293,24.2288635589187,125.954077058918,95205.8153926987,678579.609009394,0.117429017187577,0.250229055113364,0.270820866795728,0.361521060903332,0.356979630153109,0.000697155814673353,0.000112389843672418,0.000584265089463636,0.641626559099081
16,43831.2604465624,471.919282488531,2.07841375255379,0.497697419680988,2.58733719916907,43354.1777157025,124853.579005516,18348.2421375552,68.808106782259,13.4811265334888,70.0818356674336,106352.965798977,173258.726049847,46717.5731622997,144.666896279169,21.2195880433601,110.310317282756,126264.956085942,337119.84444076,195338.09503374,213.762133296521,31.6897278601197,164.73948115383,141371.558064709,679063.409942684,0.0645466385094464,0.183861443831959,0.255143663335461,0.496448254323133,0.384170058048192,0.000632217174161599,9.85005801774759e-05,0.000512056703706857,0.614587167493763
17,48428.6202718107,120.620683512324,1.22352253771641,0.861283745001928,0.853477306715925,48305.061304709,195636.185011697,15761.893001041,138.753704707177,83.8778133140822,80.0549196273108,179571.605573007,396652.611760558,60593.7046367074,441.612648892889,202.319304762681,191.931611283535,335223.043558911,2755535.15061902,1034124.07531933,2671.57307575924,1242.94616567938,1173.89400255388,1716322.6620557,3396252.56766308,0.0142594283867215,0.0576035442341414,0.116791258558691,0.811345768820446,0.327007568346067,0.000957868382013615,0.000450497875826097,0.000425979511814375,0.671158085884279
18,10090.8778656642,6.05518461666011,0.0602911415798386,0.044896911181583,0.0425025872455339,10084.6749904076,50601.2082682945,3080.53661284742,26.1178397926991,16.0571531944133,15.1460504123381,47463.3506120476,130502.797258693,15279.4493049754,107.012179344102,49.5011361046142,46.6854163587317,115020.14922191,3205125.40898387,1093649.96043331,2705.68123359608,1264.82585738918,1192.81177885864,2106312.12968072,3396320.29237652,0.00297112080044821,0.0148988328285396,0.0384247615136957,0.943705284857316,0.327417883416888,0.000835866849851197,0.000391726612647726,0.000369425036570685,0.670985098084043
19,1893.21432954859,0.379286008126649,0.00178212082426249,0.00208018942250656,0.000719467220387568,1892.83046176299,11449.6471355905,680.70135338271,2.64089695926589,2.51312218977505,0.770685687198848,10763.0210773716,36915.7681648671,4217.34383143901,13.5010928067923,9.6013190324416,2.89366455942294,32672.4282570294,6742391.0885502,2940069.84357862,3307.10119406964,2381.59513212953,700.135340838976,3795932.41330454,6792649.7181802,0.000278715141821827,0.00168559363585996,0.00543466389354125,0.992601027328777,0.433552205727227,0.000489241327587085,0.000352397334303065,0.000103612057113608,0.565502543553769
20,140.513284796843,0.0215463549884602,8.27736295213765e-05,9.71362558332011e-05,2.86775409827579e-05,140.491529854428,985.779178552768,59.4559986283495,0.193360338506634,0.183660098121967,0.0538881741896313,925.892271313601,3755.85537291358,439.445255845885,1.18280812296331,0.840301400177711,0.246398140382821,3314.14060940417,6787767.84461936,3346684.19833677,3184.12495813928,2286.55174972497,670.21155598426,3434942.75801874,6792649.99245562,2.06860775916478e-05,0.000145124388809617,0.000552929324650187,0.999281260208949,0.492765433940393,0.00046896295450412,0.000336772218633415,9.87113824090877e-05,0.506330119504061
21,8.37475640168483,0.00117257154239013,5.18424281101922e-06,6.07671206595002e-06,1.78152736634811e-06,8.37357078766019,65.7481702726213,3.58074219726629,0.0133356780270683,0.0125685621441034,0.00368405040861878,62.1378397847753,282.177075921688,29.8357883363491,0.0920403459191973,0.0650561972359878,0.019068680003834,252.16512236218,6792293.69981554,3182602.77503411,3480.08736660045,2492.08320860044,730.452075368714,3602988.30213085,6792649.99981813,1.23291445929189e-06,9.67931076595757e-06,4.15415303201612e-05,0.999947546244455,0.468541172123167,0.000512346837817614,0.000366890806902057,0.000107539006116937,0.530472051225996
22,0.409910222150808,0.000154930480201831,4.348416227016e-07,5.25783948184767e-07,1.5411275316484e-07,0.409754176932282,3.52764392669194,0.203210541028155,0.000484226328858257,0.000472128182490092,0.000138385180241484,3.32333864597219,16.6253977600923,1.88952860987157,0.00372405733668517,0.00269714416829473,0.000790557440347721,14.7286573912754,6792629.43704412,3734421.0787331,2571.09352412108,1865.17020886367,546.698215828125,3053225.3963622,6792649.99999603,6.03461421022794e-08,5.19332503028126e-07,2.44755695643115e-06,0.999996972764398,0.549774119324471,0.00037851173442487,0.000274586998986095,8.04839267333335e-05,0.449492298015385
23,0.0168542752786142,3.0768825655811e-05,4.75367397186058e-08,5.77202344238699e-08,1.69183228571928e-08,0.0168233842776613,0.157275013792431,0.0120759138536138,1.60789456389741e-05,1.60174510334928e-05,4.69485965564119e-06,0.145162308682489,0.802925687287114,0.119983949528371,0.00013203665952252,9.70478037092797e-05,2.84455870221066e-05,0.682684207708489,6792649.02294493,4546940.43966076,1732.96938725643,1265.92579417185,371.054271481692,2242338.63383126,6792649.99999991,2.48125183523579e-09,2.31537049299513e-08,1.18205072731132e-07,0.999999856159971,0.669391264344763,0.000255124220358711,0.00018636701542032,5.46258536269441e-05,0.330112618565831
24,0.00059419584060473,3.4964637582933e-06,3.33444837207545e-09,4.05720983849985e-09,1.18920481055878e-09,0.000590690795983415,0.00596506189036125,0.000643859223733664,5.30729523787214e-07,5.32195232826957e-07,1.55991224628108e-07,0.00531998375064634,0.0326817397737873,0.00654343729450408,4.4565436042974e-06,3.28923202948373e-06,9.6410358359761e-07,0.0261295926000659,6792649.96075899,5099901.79720609,1200.28075346073,878.184546836845,257.403813677871,1690412.29443892,6792649.99999999,8.74762928466402e-11,8.78164176037519e-10,4.81133869311497e-09,0.999999994223021,0.750797082787556,0.000176702871258101,0.000129284528227176,3.78944616311977e-05,0.248859035351327
25,1.80629638733128e-05,2.11429045744987e-07,1.93309183544216e-10,2.32821378016606e-10,6.82420464212769e-11,1.78510404549599e-05,0.000193115709297553,2.58924778630986e-05,2.03586144585186e-08,2.01438813997513e-08,5.90435337747884e-09,0.000167176824585218,0.00112561163455161,0.000268737134083372,1.74538825996701e-07,1.27495647648936e-07,3.73701245946867e-08,0.000856535095869998,4799724.99866322,3645548.72923177,828.133504604383,605.466020266766,177.46755306773,1152565.20235351,4799725.00000001,3.76333308123128e-12,4.02347445525634e-11,2.34515859669379e-10,0.999999999721486,0.759532833553299,0.000172537698472198,0.000126145981366565,3.69745252303148e-05,0.240131508241632
