"age_group","outcome","week_no","cases"
3,"hosp",109,2.41233949532648
3,"hosp",110,2.1948494201526
3,"hosp",111,2.05086549167615
3,"hosp",112,1.96982309550827
3,"hosp",113,1.94657103302644
3,"hosp",114,1.98090025819418
3,"hosp",115,2.07776008111762
3,"hosp",116,2.24825110060118
3,"hosp",117,2.51164970548127
3,"hosp",118,2.89895914632475
3,"hosp",119,3.45886626967259
3,"hosp",120,4.26762108234767
3,"hosp",121,5.44542545790126
3,"hosp",122,7.18368390027151
3,"hosp",123,9.79026228273802
3,"hosp",124,13.7638700630971
3,"hosp",125,19.9128288519386
3,"hosp",126,29.5325748188288
3,"hosp",127,44.6325497139913
3,"hosp",128,68.1100241890196
3,"hosp",129,103.519888262919
3,"hosp",130,153.65671851452
3,"hosp",131,217.046639992638
3,"hosp",132,283.328389213375
3,"hosp",133,333.164899519524
3,"hosp",134,348.580921749538
3,"hosp",135,326.597354909612
3,"hosp",136,280.181788002354
3,"hosp",137,226.554115146906
3,"hosp",138,177.365794482124
3,"hosp",139,137.151154486329
3,"hosp",140,106.062513689565
3,"hosp",141,82.5677675697508
3,"hosp",142,64.8904577563077
3,"hosp",143,51.5265283810055
3,"hosp",144,41.3338461313912
3,"hosp",145,33.4800811335776
3,"hosp",146,27.3657423646317
3,"hosp",147,22.5582592855637
3,"hosp",148,18.7430871952313
3,"hosp",149,15.6892369631405
3,"hosp",150,13.2253321034051
3,"hosp",151,11.2229572184935
3,"hosp",152,9.5849794815538
3,"hosp",153,8.23726733384869
3,"hosp",154,7.12275239134001
3,"hosp",155,6.19712863013657
3,"hosp",156,5.42571106408817
4,"hosp",105,3.16910585955883
4,"hosp",106,2.60595741830885
4,"hosp",107,2.21190435158297
4,"hosp",108,1.92296801473731
4,"hosp",109,1.71309954235863
4,"hosp",110,1.56519034665094
4,"hosp",111,1.46796865990393
4,"hosp",112,1.41459118580971
4,"hosp",113,1.40189287681341
4,"hosp",114,1.43013103602594
4,"hosp",115,1.50320069096355
4,"hosp",116,1.62939647804366
4,"hosp",117,1.82291301356863
4,"hosp",118,2.10644805895122
4,"hosp",119,2.51555040313034
4,"hosp",120,3.10581671552863
4,"hosp",121,3.96481651193531
4,"hosp",122,5.23190361488833
4,"hosp",123,7.13109090421871
4,"hosp",124,10.0250218211385
4,"hosp",125,14.5010177891196
4,"hosp",126,21.499356120753
4,"hosp",127,32.4763698494308
4,"hosp",128,49.5266591216562
4,"hosp",129,75.2073806295606
4,"hosp",130,111.49399147355
4,"hosp",131,157.218181133429
4,"hosp",132,204.725487857376
4,"hosp",133,239.886885161291
4,"hosp",134,249.722822245836
4,"hosp",135,232.334973537824
4,"hosp",136,197.465988492576
4,"hosp",137,157.83558743031
4,"hosp",138,121.944237397317
4,"hosp",139,92.9945836095856
4,"hosp",140,70.9564968464698
4,"hosp",141,54.5831945791613
4,"hosp",142,42.4820516120882
4,"hosp",143,33.4932751646166
4,"hosp",144,26.7487819739145
4,"hosp",145,21.6260530496305
4,"hosp",146,17.684940988064
4,"hosp",147,14.6143384257064
4,"hosp",148,12.1929400914779
4,"hosp",149,10.2618275066352
4,"hosp",150,8.70565567341408
4,"hosp",151,7.43977492170025
4,"hosp",152,6.4013712981294
4,"hosp",153,5.54331957069779
4,"hosp",154,4.82987653113567
4,"hosp",155,4.23363433143276
4,"hosp",156,3.73334617374584
5,"hosp",105,2.63745128092003
5,"hosp",106,2.18116476643532
5,"hosp",107,1.86170295836629
5,"hosp",108,1.62733508828309
5,"hosp",109,1.45735422705294
5,"hosp",110,1.33821252172275
5,"hosp",111,1.26105192366782
5,"hosp",112,1.22061166512437
5,"hosp",113,1.21466637807282
5,"hosp",114,1.24387063955121
5,"hosp",115,1.3120010974332
5,"hosp",116,1.42667062848957
5,"hosp",117,1.60069070287052
5,"hosp",118,1.85441034753871
5,"hosp",119,2.21960676442127
5,"hosp",120,2.74591442325549
5,"hosp",121,3.51147014173324
5,"hosp",122,4.64059195821453
5,"hosp",123,6.33310794296219
5,"hosp",124,8.91249323133891
5,"hosp",125,12.902584624065
5,"hosp",126,19.1418643310173
5,"hosp",127,28.9285394025927
5,"hosp",128,44.1285189759928
5,"hosp",129,67.0163610707224
5,"hosp",130,99.3395061446467
5,"hosp",131,140.027486742489
5,"hosp",132,182.209881492091
5,"hosp",133,213.242888280284
5,"hosp",134,221.546835334164
5,"hosp",135,205.49349613157
5,"hosp",136,173.883270021514
5,"hosp",137,138.157428298178
5,"hosp",138,105.939482846644
5,"hosp",139,80.0765481547716
5,"hosp",140,60.5056155907811
5,"hosp",141,46.0730967200774
5,"hosp",142,35.5008914993906
5,"hosp",143,27.7273693102987
5,"hosp",144,21.9593796396202
5,"hosp",145,17.6294102074508
5,"hosp",146,14.3374883963674
5,"hosp",147,11.8021787467533
5,"hosp",148,9.82449184642076
5,"hosp",149,8.2626278611366
5,"hosp",150,7.01461889463577
5,"hosp",151,6.00643701549222
5,"hosp",152,5.18381471184887
5,"hosp",153,4.50657837098711
5,"hosp",154,3.94468971615927
5,"hosp",155,3.47545708142748
5,"hosp",156,3.08155564217608
6,"hosp",105,2.05841034567335
6,"hosp",106,1.70872203961609
6,"hosp",107,1.46439835056224
6,"hosp",108,1.28557623436154
6,"hosp",109,1.15644625475616
6,"hosp",110,1.06673707045082
6,"hosp",111,1.00980841452935
6,"hosp",112,0.981821755873096
6,"hosp",113,0.981328984775889
6,"hosp",114,1.0091848303984
6,"hosp",115,1.06878112882336
6,"hosp",116,1.16666935266417
6,"hosp",117,1.31372248309201
6,"hosp",118,1.52711499351467
6,"hosp",119,1.83360742850285
6,"hosp",120,2.27496951002127
6,"hosp",121,2.91695921193477
6,"hosp",122,3.8642394309778
6,"hosp",123,5.28513579112253
6,"hosp",124,7.45229300395036
6,"hosp",125,10.807505808646
6,"hosp",126,16.0583652031848
6,"hosp",127,24.3010668988612
6,"hosp",128,37.1120748332281
6,"hosp",129,56.4142478301532
6,"hosp",130,83.6860467959194
6,"hosp",131,118.023471259489
6,"hosp",132,153.614585459078
6,"hosp",133,179.758214052978
6,"hosp",134,186.651395901502
6,"hosp",135,172.920536846061
6,"hosp",136,146.032040749114
6,"hosp",137,115.692906465461
6,"hosp",138,88.3701643343125
6,"hosp",139,66.4741822854959
6,"hosp",140,49.9426375055657
6,"hosp",141,37.787225928337
6,"hosp",142,28.9155596319944
6,"hosp",143,22.4211734198262
6,"hosp",144,17.6273809828161
6,"hosp",145,14.0503586606985
6,"hosp",146,11.3493476373737
6,"hosp",147,9.28473240338498
6,"hosp",148,7.68721093530109
6,"hosp",149,6.43624650894178
6,"hosp",150,5.44527115003196
6,"hosp",151,4.65155234546196
6,"hosp",152,4.0092229215054
6,"hosp",153,3.48445041523618
6,"hosp",154,3.05205997902287
6,"hosp",155,2.69315271859774
6,"hosp",156,2.39341236876198
7,"hosp",105,1.5285903236846
7,"hosp",106,1.27017229400403
7,"hosp",107,1.09025543097968
7,"hosp",108,0.959110191262703
7,"hosp",109,0.864947567971226
7,"hosp",110,0.800155870422734
7,"hosp",111,0.759864396298225
7,"hosp",112,0.741320505767092
7,"hosp",113,0.74358749946362
7,"hosp",114,0.767492541247699
7,"hosp",115,0.81582496713696
7,"hosp",116,0.893838983352424
7,"hosp",117,1.01018185024577
7,"hosp",118,1.17847022445799
7,"hosp",119,1.41990296614599
7,"hosp",120,1.7675762909087
7,"hosp",121,2.27363407939793
7,"hosp",122,3.02115906600728
7,"hosp",123,4.14393328707817
7,"hosp",124,5.85893258869525
7,"hosp",125,8.51822526438342
7,"hosp",126,12.6864979659234
7,"hosp",127,19.2398986013934
7,"hosp",128,29.4406600078878
7,"hosp",129,44.8321473032487
7,"hosp",130,66.6083209126762
7,"hosp",131,94.0618946975102
7,"hosp",132,122.554165638925
7,"hosp",133,143.514674174743
7,"hosp",134,149.069178115566
7,"hosp",135,138.088226560498
7,"hosp",136,116.540976817768
7,"hosp",137,92.2133796898011
7,"hosp",138,70.3029893272183
7,"hosp",139,52.7515275383789
7,"hosp",140,39.5113557205961
7,"hosp",141,29.7880551646244
7,"hosp",142,22.7025312237612
7,"hosp",143,17.5252514153303
7,"hosp",144,13.711874237191
7,"hosp",145,10.8735145232214
7,"hosp",146,8.73652727938232
7,"hosp",147,7.10864654249984
7,"hosp",148,5.85410343598348
7,"hosp",149,4.87626018311274
7,"hosp",150,4.10570676702779
7,"hosp",151,3.49212467716657
7,"hosp",152,2.99870086182706
7,"hosp",153,2.59826280565485
7,"hosp",154,2.27058024136845
7,"hosp",155,2.00046392973308
7,"hosp",156,1.77641424852376
8,"hosp",105,1.23822749077409
8,"hosp",106,1.02732524370792
8,"hosp",107,0.880975200920597
8,"hosp",108,0.774702243992464
8,"hosp",109,0.69874529843523
8,"hosp",110,0.64682191114052
8,"hosp",111,0.614933018205471
8,"hosp",112,0.600840928728906
8,"hosp",113,0.603817126071151
8,"hosp",114,0.624600738324264
8,"hosp",115,0.665567993899889
8,"hosp",116,0.73115843964217
8,"hosp",117,0.82866072306817
8,"hosp",118,0.969547190655483
8,"hosp",119,1.17168773415215
8,"hosp",120,1.46301032439473
8,"hosp",121,1.88757518510831
8,"hosp",122,2.51569254649152
8,"hosp",123,3.46076640777933
8,"hosp",124,4.90705065125613
8,"hosp",125,7.15409435749853
8,"hosp",126,10.6833754943059
8,"hosp",127,16.2438189220852
8,"hosp",128,24.9179379673906
8,"hosp",129,38.0364806534038
8,"hosp",130,56.6448545309661
8,"hosp",131,80.1762600301201
8,"hosp",132,104.695750197261
8,"hosp",133,122.857238609105
8,"hosp",134,127.841475088682
8,"hosp",135,118.584642195298
8,"hosp",136,100.159458128123
8,"hosp",137,79.2639514389922
8,"hosp",138,60.4025908290501
8,"hosp",139,45.2768978730288
8,"hosp",140,33.8626894179562
8,"hosp",141,25.4819124335877
8,"hosp",142,19.3780367609345
8,"hosp",143,14.9214522789809
8,"hosp",144,11.6418730034069
8,"hosp",145,9.20327974454383
8,"hosp",146,7.36932987540249
8,"hosp",147,5.97408489926401
8,"hosp",148,4.90045836837647
8,"hosp",149,4.06516646524764
8,"hosp",150,3.40841665492593
8,"hosp",151,2.88686666475823
8,"hosp",152,2.4687972544756
8,"hosp",153,2.13077805710009
8,"hosp",154,1.8553443307683
8,"hosp",155,1.62936332325314
8,"hosp",156,1.44287537281516
9,"hosp",105,0.977757038930107
9,"hosp",106,0.80908214298601
9,"hosp",107,0.692233112328234
9,"hosp",108,0.607565978548507
9,"hosp",109,0.547176547660496
9,"hosp",110,0.505978238123713
9,"hosp",111,0.480734551596332
9,"hosp",112,0.469632011846407
9,"hosp",113,0.472072368303358
9,"hosp",114,0.488635858977773
9,"hosp",115,0.521215268043309
9,"hosp",116,0.573357406195316
9,"hosp",117,0.650894950835894
9,"hosp",118,0.763021821945489
9,"hosp",119,0.92408011086971
9,"hosp",120,1.15651970522713
9,"hosp",121,1.49581800473358
9,"hosp",122,1.99869001171298
9,"hosp",123,2.75678415819875
9,"hosp",124,3.91930320212804
9,"hosp",125,5.72932768927858
9,"hosp",126,8.57848056114391
9,"hosp",127,13.0775533582645
9,"hosp",128,20.1124171954567
9,"hosp",129,30.7779677226151
9,"hosp",130,45.9473018386382
9,"hosp",131,65.189559626965
9,"hosp",132,85.322798602021
9,"hosp",133,100.346364195024
9,"hosp",134,104.634087726726
9,"hosp",135,97.2352162701832
9,"hosp",136,82.2476383826852
9,"hosp",137,65.1545353889559
9,"hosp",138,49.67589864377
9,"hosp",139,37.2376450321945
9,"hosp",140,27.8397968188622
9,"hosp",141,20.9350612480515
9,"hosp",142,15.9051200717451
9,"hosp",143,12.2328648685421
9,"hosp",144,9.53106075126665
9,"hosp",145,7.5226689787819
9,"hosp",146,6.01273226877224
9,"hosp",147,4.86437055488868
9,"hosp",148,3.98103298094385
9,"hosp",149,3.29407665324917
9,"hosp",150,2.75424624028748
9,"hosp",151,2.32585350646836
9,"hosp",152,1.98278737367347
9,"hosp",153,1.7057595828873
9,"hosp",154,1.48038722861771
9,"hosp",155,1.29584617262795
9,"hosp",156,1.14391730991864
10,"hosp",105,0.802254263659772
10,"hosp",106,0.662104748204857
10,"hosp",107,0.565044731397982
10,"hosp",108,0.494738548357375
10,"hosp",109,0.444568242180519
10,"hosp",110,0.410268056944925
10,"hosp",111,0.389115760313139
10,"hosp",112,0.379572340712224
10,"hosp",113,0.381104450459209
10,"hosp",114,0.394148915550754
10,"hosp",115,0.420218327613709
10,"hosp",116,0.462177238272867
10,"hosp",117,0.524756681669784
10,"hosp",118,0.615432666555233
